name,link,tagline,likes,usedBy
Shadowkit,https://www.figma.com/community/plugin/744987207861965946/shadowkit,Quickly apply a variety of performant layered shadows to your design.,523,53300
WebP Exporter,https://www.figma.com/community/plugin/1181873200384736932/webp-exporter,Export WebP files from Figma for Web and Android.,704,52300
Skew Skew,https://www.figma.com/community/plugin/1295667411756432452/skew-skew,Free skew transform tool,322,51300
Animated Gif Maker,https://www.figma.com/community/plugin/1212210028403028415/animated-gif-maker,Generate and export animaged gifs without leaving Figma,457,51300
Annotate it!,https://www.figma.com/community/plugin/859894273811051899/annotate-it,Annotate it! makes it easy to annotate your wireframes and/or designs the smart way.,985,51100
Simple Arrow Drawer,https://www.figma.com/community/plugin/1195025463868691051/simple-arrow-drawer,Simple Arrow Drawer,39,50900
Trace Image,https://www.figma.com/community/plugin/1202196755645771809/trace-image,Transform photos into editable vector designs. Adjust the threshold or invert the source if needed.,198,50300
Master,https://www.figma.com/community/plugin/767721682134156281/master,"Create, attach, clone and move components in a couple of clicks without losing overrides! 🔥",1800,50000
Beatflyer,https://www.figma.com/community/plugin/776923340646658146/beatflyer,Create engaging videos using powerful effects that can sync to the music.,721,48400
Figma Autoname,https://www.figma.com/community/plugin/1160642826057169962/figma-autoname,Rename all your layers in one click. Thanks to AI.,1500,47500
Snapshot,https://www.figma.com/community/plugin/937590329004798392,"[NEW] Perspective mockups, synced in a click.",450,47500
"UX Pilot AI: UI Design & Wireframes Generation, Sitemaps, Templates & AI Tools",https://www.figma.com/community/plugin/1257688030051249633/ux-pilot-ai-ui-design-wireframes-generation-sitemaps-templates-ai-tools,"The most powerful UI design generator, wireframing, research & workshop plugin on Figma.",646,47400
3D Vector,https://www.figma.com/community/plugin/1268139850904385517/3d-vector,"Create 3D shapes from paths, texts, polygons and stars",558,46400
Marka Email Generator — 100% Custom HTML Email Templates,https://www.figma.com/community/plugin/751436700152214815/marka-email-generator-100-custom-html-email-templates,Export fully custom HTML email templates from Figma,912,44900
Figma -> React Native,https://www.figma.com/community/plugin/821138713091291738/figma-react-native,Transforms your Figma components to React Native components in real time.,526,44300
AI Designer,https://www.figma.com/community/plugin/1227900767438159391/ai-designer,AI assistant for all your UX design works,382,44000
Find in page,https://www.figma.com/community/plugin/949983833489656822/find-in-page,Find and select elements in your file easily,357,43500
Cutout,https://www.figma.com/community/plugin/1229141725660705006/cutout,Lift the object from a photo or remove background with just a click,916,43400
Pattern Creator,https://www.figma.com/community/plugin/1062828640232861563/pattern-creator,Create a background pattern from segments in seconds,450,43300
Grayscale,https://www.figma.com/community/plugin/1105916617805028875/grayscale,"Convert your designs to grayscale to get more targeted feedback during user testing, evaluate visual hierarchy, signify deprecated designs, and more.",219,43200
Simple Noise,https://www.figma.com/community/plugin/1247202824491426073/simple-noise,Simple High Quality Noise Generator,200,43000
Gifmock,https://www.figma.com/community/plugin/869265270145605728/gifmock,Gifmock is a tool that helps you create high-quality GIFs from static images and mockups.,278,42000
Contrast Checker,https://www.figma.com/community/plugin/1195158716202754858/contrast-checker,Check contrast in your UI design,137,41800
Faker,https://www.figma.com/community/plugin/833836762121994814/faker,"Realistic placeholder text. Names, emails, URLs, headlines, and more.",579,41800
Text to Design AI Copilot - uidesign.ai,https://www.figma.com/community/plugin/1247654636375551810/text-to-design-ai-copilot-uidesign-ai,"Generate Figma designs using AI. Websites, web apps, shopify themes, and much more!",368,41300
Figr Identity v2: Generate Design Systems quickly,https://www.figma.com/community/plugin/1350743748296105581/figr-identity-v2-generate-design-systems-quickly,"Generate production-grade design systems with export for components, variables & style sheets",1900,41200
Avatars,https://www.figma.com/community/plugin/1259189280245319471/avatars,Avatars is a comprehensive collection of diverse and eye-catching avatar images,461,40900
"Free Compressed PDF and Image Exporter (PDF, JPG, PNG, WebP and SVG)",https://www.figma.com/community/plugin/1233404694629290096/free-compressed-pdf-and-image-exporter-pdf-jpg-png-webp-and-svg,"Export Compressed JPG,PNG,PDF,SVG WebP and Merge multiple designs in single PDF",277,39600
Table Builder,https://www.figma.com/community/plugin/1104128112873973808/table-builder,Create tables ... super fast,134,38400
Figma to Wix Studio,https://www.figma.com/community/plugin/987294632651817123/figma-to-wix-studio,Convert your designs into Wix Studio site,1100,38400
Erase.bg - Remove Background,https://www.figma.com/community/plugin/1326815133679046745/erase-bg-remove-background,Remove Background From Images For Free,62,38100
Vimeo Record,https://www.figma.com/community/plugin/1039957324840667051/vimeo-record,Record and share unlimited free video messages.,275,37800
